código_material,preço_real,descrição,modelos_compativeis
6010-642-4000,13.63,Anel de deslizamento,HSE52
6010-642-9400,7.75,Arruela do excêntrico,HSE52
6010-647-2400,3.72,Mola de pressão,HSE61
6010-648-6705,6.61,PECA DE DESLIZE,HSE61
6010-648-6715,6.61,PECA DE DESLIZE,HSE61
6012-890-3400,34.51,Chave combinada,RMA370
6100-703-3100,9.46,Kabelclip,RMA370
6101-703-2800,2.96,Bujão,RMA370
6235-711-2812,50.42,Arrastador,FSE41
6235-997-2200,5.96,Mola,FSE41/FSA56
6250-007-1800,71.5,Jogo de reparo,MH 610
6250-011-1835,2770.29,Motor a gasolina,MH 610
6250-080-0400,113.98,Cobertura,MH610
6250-180-1100,78.26,Cabo do acelerador,MH610
6250-430-0200,68.69,Chave do interruptor,MH610
6250-640-0100,690.5,Engrenagem,MH610
6250-640-2100,145.82,Corrente de transmissão,MH610
6250-640-2600,61.77,Eixo,MH610
6250-640-5100,28.99,Rolamento de esferas,MH610
6250-640-5101,21.16,Rolamento de esferas,MH610
6250-640-5102,21.83,Rolamento de esferas,MH610
6250-640-5103,18.7,Rolamento de esferas,MH610
6250-640-5104,14.99,Rolamento de esferas,MH610
6250-641-0300,179.68,Carcaça da engrenagem,MH610
6250-641-2600,3.96,Arruela,MH610
6250-641-2601,7.92,Arruela,MH610
6250-641-2602,5.34,Arruela,MH610
6250-641-3100,4.47,Mola,MH610
6250-641-4100,19.27,Alavanca,MH610
6250-641-4900,21,Luva,MH610
6250-641-4901,19.98,Luva,MH610
6250-641-4902,17.42,Luva,MH610
6250-641-4903,30.73,Luva,MH610
6250-641-6500,6.68,Parafuso de fechamento,MH610
6250-642-0100,178.52,Roda dentada,MH610
6250-642-0101,153.85,Roda dentada,MH610
6250-642-0102,128.95,Roda dentada,MH610
6250-642-0103,172.34,Roda dentada,MH610
6250-642-0104,82.97,Roda dentada,MH610
6250-642-1200,178.06,"Pinhão da corrente "" d",MH610
6250-642-2200,126.01,Eixo de acionamento,MH610
6250-642-2201,48.06,Eixo de acionamento,MH610
6250-642-2600,47.52,Eixo,MH610
6250-642-2601,55.28,Eixo,MH610
6250-642-2900,82.6,Pinhão da corrente,MH610
6250-643-0300,3.05,Esfera,MH610/MH710
6250-643-1000,4.2,Anel de seguranca,MH610
6250-643-1001,4.2,Anel de seguranca,MH610
6250-643-1002,4.2,Anel de seguranca,MH610
6250-643-1300,6.81,Cobertura,MH610
6250-643-1301,36.54,Cobertura,MH610
6250-643-1302,5.11,Cobertura,MH610
6250-646-4800,4.8,Parafuso de saída do óleo,MH610
6250-647-5600,25.96,Anel de vedação,MH610
6250-649-0200,19.31,Anel de vedação,MH610
6250-649-0201,6.33,Anel de vedação,MH610
6250-649-0202,6.33,Anel de vedação,MH610
6250-649-0203,10.55,Anel de vedação,MH610
6250-649-0204,7.97,Anel de vedação,MH610
6250-710-0200,468.26,Kit de enxada,MH610
6250-710-0201,468.26,Kit de enxada,MH610
6250-710-2800,123.85,Forquilha da roda,MH610
6250-710-3500,88.56,Alavanca,MH610/710
6250-710-4500,122.34,Suporte,MH610
6250-710-4501,14.54,Suporte,MH610
6250-710-4502,45.99,Suporte,MH610
6250-710-4503,14.54,Suporte,MH610
6250-710-4504,229,Suporte,MH610
6250-710-9200,104.59,Braço do rolo tensor,MH610
6250-710-9900,84.22,Tração da embreagem,MH610
6250-710-9901,110.99,Cabo da embreagem,MH610.0
6250-711-1000,108.47,Eixo,MH610
6250-711-1100,39.54,Suporte,MH610
6250-711-1200,573.49,Polia da correia,MH610
6250-711-1201,343.49,Polia da correia,MH610
6250-711-2400,3.08,Bucha,MH610
6250-711-3600,31.65,Corrediça do interruptor,MH610
6250-711-4100,47.32,Protetor do cinto,MH610
6250-711-4101,45.85,Protetor do cinto,MH610
6250-711-4400,36.8,Cabo,MH610
6250-711-4401,11.51,Cabo,MH610
6250-711-5000,134.17,Correia,MH610
6250-711-5800,9.51,Arruela,MH610
6250-711-6301,11.16,Braço tensor,MH610
6250-711-6302,32.06,Braço tensor,MH610
6250-711-6303,11.46,Braço tensor,MH610
6250-711-6304,20.39,Braço tensor,MH610
6250-711-7200,4.06,Mangueira,MH610
6250-711-8100,3.99,Passador de borracha,MH610/710
6250-711-8801,240.33,Pneu,MH610
6250-716-0200,4.76,Arruela,MH610/710
6250-716-0201,4.76,Arruela,MH610
6250-716-0202,4.76,Arruela,MH610/710
6250-716-0203,3.96,Arruela,MH610/710/GR40.0-110/220V
6250-716-0204,5.55,Arruela,MH610/710
6250-716-0205,9.51,Arruela,MH610/710
6250-716-0206,7.92,Arruela,MH610/GR40.0/GR60.0/GR80.0
6250-716-0207,9.51,Arruela,MH610
6250-716-0300,14.27,Porca,MH610
6250-716-0700,15,Porca chapéu,MH 610 E MH 710
6250-716-1400,84.58,Pino trava,MH610
6250-716-1500,31.76,Luva,MH610/710
6250-716-2000,21.49,Pino,MH610/710
6250-716-2001,15.76,Pino,MH610
6250-716-2002,27.22,Pino,MH610
6250-716-2003,27.95,Pino,MH610
6250-716-2200,11.46,Grampo,MH610
6250-716-2400,4.47,Mola de pressão,MH610/710
6250-716-2500,32.37,Suporte,MH610
6250-716-2700,2.08,Anel de retenção,WP600/MH610/710GR40.0/GR60.0/GR80.0
6250-716-2701,1.17,Anel de retenção,MH610GR40.0/GR60.0/GR80.0
6250-716-2702,1.55,Anel de retenção,MH610
6250-716-3700,2.11,Pino,MH610
6250-716-4400,5.22,Suporte do cabo,MH610/710
6250-716-4401,6.81,Suporte do cabo,MH610/710
6250-716-4402,2.45,Suporte do cabo,MH610
6250-716-4800,10.09,Contrapino,MH610
6250-716-4900,15.63,Mola de tração,MH610
6250-716-5000,3.09,Encaixe da mola,MH610
6250-716-5001,5.23,Encaixe da mola,MH610/710
6250-716-5002,3.12,Encaixe da mola,MH610/710
6250-716-5600,7.81,Mola com haste,MH610/710
6250-716-5601,5.59,Mola com haste,MH610
6250-716-5602,5.03,Mola com haste,MH610
6250-717-3501,164.25,Barra de proteção,MH610
6250-717-3600,46.07,Cobertura,MH610/710
6250-717-3601,124.29,Cobertura,MH610
6250-717-3602,124.29,Cobertura,MH610
6250-740-0100,58.31,Suporte,MH610
6250-740-0200,179.73,Console,MH610
6250-740-0201,113.45,Console,MH610
6250-740-0202,175.96,Console,MH610
6250-740-0203,289,Console,MH610
6250-740-1400,113.48,Roda,MH610/710
6250-740-1402,232.01,Roda,MH610
6250-740-1403,232.01,Roda,MH610
6250-740-3400,171.44,Alavanca do interruptor,MH610
6250-740-3900,64.19,Arruela de proteção,MH610
6250-740-5200,217.24,Guia,MH610
6250-740-6100,185.19,Guia de comando,MH610
6250-740-7400,116.08,Eixo,MH610
6250-740-7401,90.01,Eixo,MH610
6250-740-7403,79.68,Eixo,MH610
6250-740-8500,45.13,Pino de encaixe,MH610
6250-740-9902,106.83,Mangueira,MH610
6250-744-2002,92.44,Aro,MH610
6250-744-2003,93.03,Aro,MH610
6250-791-5700,83.24,Cabo de transporte,MH610
6250-820-0211,216.55,Filete de proteção,MH610
6250-820-1200,44.69,Cabo,MH610/710
6250-820-4001,118.74,Cobertura,MH610
6250-890-2300,27.72,Chave de fenda,GR40.0/GR60.0/GR80.0
6250-951-0600,8.7,Parafuso sextavado M6,MH610
6250-951-0800,4.32,Parafuso sextavado,MH610/710/GR80.0
6250-951-0801,4.32,Parafuso sextavado,MH610
6250-951-0802,4.32,Parafuso sextavado,MH610/710
6250-951-0803,5.4,Parafuso sextavado,MH610
6250-951-0804,7.02,Parafuso sextavado,MH610/710
6250-951-0805,4.32,Parafuso sextavado,MH610
6250-951-0806,4.32,Parafuso sextavado,MH610GR60.0/R60.0/GR80.0
6250-951-0807,6.49,Parafuso sextavado,MH610
6250-951-0808,4.32,Parafuso sextavado,MH610
6250-951-0809,4.32,Parafuso sextavado,MH610
6250-951-0810,8.64,Parafuso sextavado,MH610
6250-951-0811,4.32,Parafuso sextavado,MH610/GR80.0
6250-951-0812,4.32,Parafuso sextavado,MH610
6250-951-0813,4.32,Parafuso sextavado,MH610
6250-951-0814,4.32,Parafuso sextavado,WP300/600/900/MH610/EHC605/705
6250-951-0818,6.49,Parafuso sextavado,WP300/600
6250-951-0900,10.8,Parafuso sextavado,MH610/710
6250-951-2600,4.32,Parafuso cabeça lentilha,MH610/710
6250-951-3500,7.83,Parafuso,MH610/710
6250-951-9700,4.32,Parafuso,WP900/MH610/EHC705/GR40.0-110/220V
6250-951-9701,4.32,Parafuso,MH610
6250-955-0900,4.76,Porca,MH610
6250-955-1100,3.04,Porca sextavada M,MH610/710/GR60.0/R60.0/GR80.0
6250-955-1101,2.17,Porca sextavada M,MH610/710
6250-955-1102,2.6,Porca sextavada M,MH610
6250-955-1103,5.2,Porca sextavada M,MH610/710
6250-955-1104,2.6,Porca sextavada M,WP300/600/900/EHC705
6250-967-1500,12.58,Plaqueta de identificação,MH610
6250-967-4400,10.08,Adesivo,MH610
6250-967-4404,10.08,Adesivo,WP300/600/900/EHC605/705
6250-967-4406,10.08,Adesivo,MH610/710
6250-967-4409,10.08,Adesivo,WP300/600/900/MH710
6250-967-4415,10.08,Adesivo,MH610/710
6250-967-4416,10.08,Adesivo,MH610/710
6250-967-4417,10.08,Adesivo,MH610/710
6250-967-4431,10.09,Adesivo,MH610/710
6251-007-1800,92.24,Jogo de reparo,MH 710
6251-007-3200,10.56,Jogo de arruelas de compensação,MH710
6251-011-1835,3098.99,Motor a gasolina,MH710
6251-020-9200,14.27,Vareta do óleo,MH710
6251-029-0500,6.46,Junta de vedação,MH710
6251-080-0400,104.84,Cobertura,MH710
6251-160-2000,471.45,Embreagem,MH710
6251-180-1100,80.25,Cabo do acelerador,MH710
6251-400-3200,115.13,Farol,MH710
6251-430-0200,69.08,Chave do interruptor,MH710
6251-435-0300,57.89,Interruptor,MH710
6251-640-0100,2137.78,Engrenagem,MH710
6251-640-1400,687.47,Carcaça,MH710
6251-640-5100,27.49,Rolamento de esferas,MH710
6251-640-5101,27.49,Rolamento de esferas,MH710
6251-640-5102,129.46,Rolamento de esferas,MH710
6251-640-6400,68.69,Alavanca,MH710
6251-640-6401,57.4,Alavanca,MH710
6251-640-6600,215.98,Flange,MH710
6251-641-0300,252.78,Carcaça da engrenagem,MH710
6251-641-2600,11.09,Arruela,MH710
6251-641-2601,11.09,Arruela,MH710
6251-641-2602,7.92,Arruela,MH710
6251-641-2603,11.89,Arruela,MH710
6251-641-2604,4.76,Arruela,MH710
6251-641-2606,4.76,Arruela,MH710
6251-641-2607,6.34,Arruela,MH710
6251-641-2608,7.14,Arruela,MH710GR40.0-110/220V
6251-641-2609,6.34,Arruela,MH710
6251-641-2610,5.34,Arruela,MH610
6251-641-2611,4.76,Arruela,MH710
6251-641-2612,3.96,Arruela,MH710
6251-641-2614,6.38,Arruela,MH710
6251-641-3100,3.35,Mola,MH710
6251-641-3101,4.47,Mola,MH710
6251-641-3600,4.3,Pino,MH710
6251-641-3601,10.03,Pino,MH710
6251-641-3602,10.03,Pino,MH710
6251-641-3900,2.11,Pino,MH710
6251-641-3901,2.11,Pino,MH710
6251-641-4100,33.72,Alavanca,MH710
6251-641-4101,26.97,Alavanca,MH710
6251-641-4900,11.22,Luva,MH710
6251-641-4901,33.66,Luva,MH710
6251-641-4902,29.27,Luva,MH710
6251-641-4903,19.03,Luva,MH710
6251-641-4904,132.68,Luva,MH710
6251-641-4905,12.2,Luva,MH710
6251-641-7100,16.64,Suporte,MH710
6251-642-0100,148.43,Roda dentada,MH710
6251-642-0101,97.21,Roda dentada,MH710
6251-642-0102,254.45,Roda dentada,MH710
6251-642-0200,288.6,Roda cônica,MH710
6251-642-0201,273.16,Roda cônica,MH710
6251-642-2600,104.07,Eixo,MH710
6251-642-2601,47.24,Eixo,MH710
6251-642-2602,64.28,Eixo,MH710
6251-642-2603,90.85,Eixo,MH710
6251-642-2604,116.61,Eixo,MH710
6251-642-3800,24.82,Arrastador,MH710
6251-642-9700,10.01,Bucha,MH710
6251-643-0900,6.92,Porca,MH710
6251-643-0901,12.98,Porca,MH710
6251-643-1000,4.2,Anel de seguranca,MH710
6251-643-1001,4.2,Anel de seguranca,MH710
6251-643-1002,4.2,Anel de seguranca,MH710
6251-643-1100,134.49,Gaiola de agulhas,MH710
6251-643-1101,140.15,Gaiola de agulhas,MH710
6251-643-1102,140.15,Gaiola de agulhas,MH710
6251-643-1300,8.59,Cobertura,MH710
6251-643-1301,12.51,Cobertura,MH710
6251-643-1302,138.14,Cobertura,MH710
6251-643-3600,13.19,Alavanca do interruptor,MH710
6251-643-5700,2.8,Mola de disco,MH710
6251-646-1700,9.47,Nípel de enchimento de óleo,MH710
6251-646-4800,4.32,Parafuso de saída do óleo,MH710
6251-647-5600,5.67,Anel de vedação,MH710
6251-647-5601,5.74,Anel de vedação,MH710
6251-647-5602,5.91,Anel de vedação,MH710
6251-647-5603,5.67,Anel de vedação,MH710
6251-647-5604,11.16,Anel de vedação,MH710
6251-647-5605,13.57,Anel de vedação,MH710
6251-648-0100,31.98,Flange,MH710
6251-649-0300,3.89,Junta de vedação,MH710
6251-649-0301,11.1,Junta de vedação,MH710
6251-649-0302,2.89,Junta de vedação,MH710
6251-649-0303,7.19,Junta de vedação,MH710
6251-649-0304,8.2,Junta de vedação,MH710
6251-710-0200,544.22,Kit de enxada,MH710
6251-710-0201,544.22,Kit de enxada,MH710
6251-710-2800,125.74,Forquilha da roda,MH710
6251-710-2805,122.27,Garfo da roda,MH710
6251-710-3500,98.4,Alavanca,MH710
6251-710-3900,8.52,Parafuso de fechamento,MH610/710
6251-710-4500,173.79,Suporte,MH710
6251-710-4501,51.29,Suporte,MH710
6251-710-4502,60.07,Suporte,MH710
6251-710-4503,60.07,Suporte,MH710
6251-710-4504,13.2,Suporte,MH610/710
6251-710-4505,68.06,Suporte,MH710
6251-710-9901,85.81,Tração da embreagem,MH710
6251-710-9902,79.06,Tração da embreagem,MH710
6251-710-9904,105.99,Cabo da embreagem,MH710.0
6251-710-9905,107.99,Cabo da embreagem,MH710.0
6251-710-9906,116.99,Cabo da embreagem,MH710.0
6251-711-0900,133.79,Eixo,MH710
6251-711-1101,61.45,Suporte,MH710
6251-711-2800,13.47,Arrastador,MH710
6251-711-4400,29.9,Cabo,MH710
6251-711-8500,32.95,Pino,MH710
6251-711-8800,337.09,Pneu,MH710
6251-716-0200,4.76,Arruela,MH710
6251-716-0400,11.34,Parafuso,MH710
6251-716-0401,11.34,Parafuso,MH710
6251-716-0402,11.34,Parafuso,MH710
6251-716-0700,15.57,Porca chapéu,MH610/710
6251-716-1400,97.04,Pino trava,MH710
6251-716-2000,15.76,Pino,MH710
6251-716-2001,5.74,Pino,MH710
6251-716-2200,11.46,Grampo,MH710
6251-716-2700,1.55,Anel de retenção,MH710
6251-716-2701,1.55,Anel de retenção,MH710
6251-716-2702,1.55,Anel de retenção,MH710
6251-716-3800,22.28,Chapa espaçadora,MH710
6251-716-4800,12.22,Contrapino,MH710
6251-717-3100,67.16,Chapa defletora,MH710
6251-717-3500,164.62,Barra de proteção,MH710
6251-717-3600,23.49,Cobertura,MH710
6251-718-7000,7.31,Chapa de apoio,MH710
6251-740-0200,186.73,Console,MH710
6251-740-0201,59.21,Console,MH710
6251-740-0202,133.67,Console,MH710
6251-740-0203,489,Console,MH610/710
6251-740-1400,336.54,Kit Roda + Pneu,MH710
6251-740-1401,336.54,Roda,MH710
6251-740-3400,109.82,Alavanca do interruptor,MH710
6251-740-3900,73.28,Arruela de proteção,MH710
6251-740-5200,290.63,Guia,MH710
6251-740-6100,184.3,Guia de comando,MH710
6251-740-7400,101.82,Eixo,MH710
6251-740-7401,106.24,Eixo,MH710
6251-740-7402,110.17,Eixo,MH710
6251-740-7403,108.7,Eixo,MH710
6251-740-8500,55.4,Pino de encaixe,MH710
6251-740-9901,147.87,Câmara de ar,MH710
6251-744-2000,115.4,Aro,MH710
6251-744-2001,115.88,Aro,MH710
6251-791-5700,130.6,Cabo de transporte,MH710
6251-820-0212,216.55,Filete de proteção,MH710
6251-951-0800,4.32,Parafuso sextavado,MH710
6251-951-0801,4.32,Parafuso sextavado,MH710
6251-951-0802,4.32,Parafuso sextavado,MH710
6251-951-0804,4.32,Parafuso sextavado,MH710
6251-951-0805,4.32,Parafuso sextavado,MH710
6251-951-0806,4.32,Parafuso sextavado,MH610/710
6251-951-0807,6.49,Parafuso sextavado,MH710
6251-951-0808,4.32,Parafuso sextavado,MH710
6251-951-0809,6.49,Parafuso sextavado,MH710
6251-951-0810,5.94,Parafuso sextavado,MH710
6251-951-0811,4.32,Parafuso sextavado,MH710
6251-951-0812,4.32,Parafuso sextavado,MH710
6251-951-0813,5.4,Parafuso sextavado,MH710
6251-951-0819,14.4,Parafuso sextavado,MH610/710
6251-951-1700,4.32,Parafuso,MH710
6251-951-1701,4.32,Parafuso,MH710
6251-951-1702,4.32,Parafuso,MH710
6251-951-2600,3.78,Parafuso cabeça lentilha,WP300/600/900/MH710
6251-955-0900,3.9,Porca,MH710
6251-955-1100,3.9,Porca sextavada M,MH710
6251-955-1101,6.5,Porca sextavada M,MH710
6251-958-2200,7.92,Arruela,MH710
6251-958-2201,6.34,Chaveta,MH710
6251-967-1500,12.58,Plaqueta de identificação,MH710
6251-967-1501,12.58,Plaqueta de identificação MH 700,MH710
6251-967-4400,10.08,Adesivo,MH 710
6251-967-4401,10.08,Adesivo,MH 710
6251-967-4403,10.08,Adesivo,MH 710
6251-967-4405,10.08,Adesivo,MH 710
6310-760-2801,20.88,Parafuso da lâmina,RMA370
6311-400-0300,86.18,Suporte da bateria,RMA235
6311-400-0305,77.45,Suporte da bateria,RMA235.1
6311-401-0100,7.56,Dissipador de calor,RMA235
6311-403-1100,4.37,Assento,RMA235
6311-403-2300,47.12,Suporte,RMA235
6311-430-0800,2.74,Alívio de tração,RMA235
6311-430-1400,324.07,Módulo electrônico,RMA235
6311-430-1401,324.1,Módulo electrônico RMA 235.1,RMA 235.1
6311-430-3800,48.31,Fusível,RMA510
6311-430-6405,13.64,Alavanca,RMA235
6311-430-9907,36,Parte da carcaça,RMA235
6311-432-6015,31.77,Parte da carcaça,RMA235
6311-435-0301,139.5,Interruptor,RMA235
6311-435-0305,128.25,Interruptor,RMA235.1
6311-435-8700,4.47,Mola,RMA235
6311-435-8705,3.72,Mola,RMA235
6311-440-0300,243.63,Cabo,RMA235
6311-440-0306,101.99,Cabo,RMA235.1
6311-600-0210,310.78,Motor elétrico,RMA235
6311-600-0211,347.63,Motor elétrico,RMA235.1
6311-608-3800,18.15,Luva,RMA235
6311-700-0492,44.88,Roda,RMA235
6311-700-0497,52.36,Roda,RMA235
6311-700-2400,81.26,Eixo,RMA235
6311-700-2405,83.28,Eixo,RMA235
6311-700-2715,60.55,Borboleta,RMA235
6311-700-8593,326.17,Carcaca,RMA235
6311-700-8910,64.07,Tampa,
6311-701-2000,55.6,Flange,RMA235
6311-701-9910,128.16,Peso adicional,RMA235
6311-702-0110,144.92,Lâmina,RMA235
6311-702-0600,35.86,Arrastador,RMA235
6311-703-0900,33.86,Eixo,RMA235
6311-703-3110,7.09,Clips do cabo,RMA235
6311-703-5100,10.42,Mola de tração,RMA235
6311-703-5910,6.32,Filtro,RMA235
6311-703-6600,23.3,Cabo,RMA235
6311-703-6700,35.54,Alavanca,RMA235
6311-703-8800,137.48,Alavanca de translação,RMA235
6311-703-9602,131.75,Caixa coletora de grama,RMA235
6311-706-0705,32.3,Cobertura,RMA235
6311-706-0710,14.3,Cobertura,RMA235
6311-706-6600,3.26,Guia,RMA235
6311-708-0800,10.42,Mola,RMA235
6311-708-0805,11.16,Mola,RMA235
6311-708-4300,14.22,Botão de regulagem,RMA235
6311-708-8000,14.3,Borboleta,RMA235
6311-708-8400,16.56,Parafuso,RMA235
6311-708-9300,5.28,Arruela,RMA235
6311-708-9390,5.28,Arruela,RMA235
6311-760-2105,123.46,Caixa coletora de grama,RMA235
6311-760-2285,126.03,Cobertura do motor,RMA235.1
6311-760-5205,20.65,Assento,RMA235
6311-763-2500,9.67,Placa de regulagem,RMA235
6311-763-4800,48.94,Condutor inferior,RMA235
6311-763-5000,100.07,Condutor superior,RMA235
6311-764-0200,61.23,Alavanca do interruptor,RMA235
6311-764-2400,3.72,Mola de pressão,RMA235
6311-791-3100,7.44,Mola,RMA235
6311-893-0400,7.4,Chave de fenda,RMA235
6311-951-3501,2.78,Parafuso,RMA 235
6311-951-3503,2.78,Parafuso,RMA 235
6311-951-3505,2.78,Parafuso,RMA 235
6311-951-3510,2.78,Parafuso,RMA 235
6311-951-3515,3.33,Parafuso,RMA 235
6311-951-3520,3.89,Parafuso,RMA235
6311-951-3525,3.33,Parafuso,RMA 235
6311-951-3530,2.78,Parafuso,RMA 235
6311-967-0120,12.58,Plaqueta de identificação,RMA235
6311-967-1820,10.08,Placa de características RMA 235.0 (RoW),RMA235
6311-967-4406,10.08,Adesivo,RMA235
6320-400-0300,133.63,Suporte da bateria,RMA370
6320-430-0500,222.74,Interruptor,RMA370
6320-430-1400,402.66,Módulo electrônico,RMA370
6320-430-3800,41.73,Fusível,RMA370
6320-600-0220,1198.28,Motor elétrico,RMA370
6320-606-0100,49.63,Cobertura do ventilador,RMA370
6320-641-0300,111.05,Carcaça da engrenagem,RMA370
6320-641-0310,92.16,Carcaça da engrenagem,RMA370
6320-700-0440,52.04,Roda,RMA370
6320-700-0445,63.6,Roda,RMA370
6320-700-2400,103.62,Eixo,RMA370
6320-700-2710,87.7,Valvula,RMA370
6320-700-3500,122.43,Eixo da lâmina,RMA370
6320-700-8541,391.37,Carcaca,RMA370
6320-702-0120,133.36,Lâmina,RMA370
6320-702-0130,135.41,Lâmina,RMA370
6320-702-5000,50.39,Bucha da lâmina,RMA370
6320-703-0900,55.53,Eixo,RMA370
6320-703-5110,9.67,Mola de tração,RMA370
6320-703-5121,30.5,Mola de tração,RMA370
6320-703-8800,157,Alavanca de translação,RMA370
6320-703-9615,165.76,Caixa coletora de grama,RMA370
6320-704-0300,10.53,Capa da roda,RMA370
6320-706-0710,22.12,Cobertura,RMA370
6320-706-3400,27.01,Tampa,RMA370
6320-706-5610,115.45,Cobertura do motor,RMA370
6320-706-6500,78.61,Pano de borracha,RMA370
6320-706-6610,6.29,Guia,RMA370
6320-706-7300,33.76,Filete de proteção,RMA370
6320-708-6200,13.77,Segmento de contato,RMA370
6320-760-2110,126.27,Caixa coletora de grama,RMA370
6320-760-5200,20.12,Assento,RMA370
6320-760-7500,65.81,Polia de correia dentada,RMA370
6320-763-2505,14.37,Placa de regulagem,RMA370
6320-763-3800,6.25,Apoio,RMA370
6320-763-3805,2.23,Apoio,RMA370
6320-763-4805,50.56,Condutor inferior,RMA370
6320-763-5000,90.66,Condutor superior,RMA370
6320-764-0200,62.38,Alavanca do interruptor,RMA370
6320-764-0900,137.97,Correia dentada,RMA370
6320-766-8300,117.13,Elemento triturador,RMA370
6320-967-1500,12.58,Plaqueta de identificação,RMA370
6320-967-1815,10.08,Placa de características,RMA370
6368-007-1090,75.83,Jogo,RMA460
6368-007-1095,753.2,Kit módulo eletrônico,RMA460
6368-007-1098,443.4,Jogo motor elétrico,RMA460
6368-400-0300,86.14,Suporte da bateria,RMA460
6368-400-0305,119.45,Suporte da bateria,RMA510/460
6368-403-0405,76.13,Suporte da bateria,RMA460
6368-403-1300,12.95,Carcaça,RMA460
6368-405-0700,24.1,Magneto,RMA460/510
6368-430-0505,216.71,Interruptor,RMA460/510
6368-430-0510,174.77,Interruptor,RMA460/510
6368-430-1405,188.3,Módulo electrônico,RMA460/510
6368-430-1410,627.67,Módulo electrônico,RMA460/510
6368-430-2200,98.54,Cabo de ligação,RMA460V
6368-430-2205,116.58,Cabo de ligação,RMA460/510
6368-430-3800,41.73,Fusível,RMA460
6368-430-6700,39.47,Potenciômetro de rotação,RMA460V
6368-430-9800,15.6,Alavanca de bloqueio,RMA460
6368-432-2300,2.54,Bujão,RMA460/510
6368-432-9200,7.23,Suporte,RMA460
6368-435-8900,4.47,Mola plana,RMA460
6368-440-0300,147.88,Cabo,RMA460/510
6368-440-1900,48.31,Cabo de ligação,RMA460
6368-440-1905,32.2,Cabo de ligação,RMA460
6368-440-1915,40.58,Cabo de ligação,RMA460/510
6368-440-1925,52.82,Cabo de ligação,RMA460/510
6368-600-0400,261.89,Motor de engrenagem,RMA510/460
6368-640-0100,414.72,Engrenagem,RMA510/460
6368-700-0405,214.17,Roda,RMA460/510
6368-700-2400,181.45,Eixo,RMA460
6368-700-2401,195.68,Eixo,RMA460/510
6368-700-2405,135.22,Eixo,RMA460
6368-700-2710,90.59,Valvula de retenção,RMA460
6368-700-2720,48.35,Tampa,RMA370
6368-700-7000,60.13,Alavanca,RMA460/510
6368-700-9490,180.16,Guia,RMA460/510
6368-700-9700,380.99,Saco recolhedor,RMA460
6368-700-9705,176.66,Saco recolhedor,RMA460
6368-701-1000,443.97,Carcaça,RMA460
6368-701-1005,121.26,Carcaça,RMA510/460
6368-701-1010,486.46,Carcaça,RMA510/460
6368-701-3300,8.33,Grampo para cabo,RMA460/510
6368-702-0100,140.29,Lâmina,RMA460
6368-702-0800,89.63,Disco turbo,RMA460
6368-703-0900,51.65,Eixo,RMA460
6368-703-2900,12.48,Protetor,RMA460
6368-703-6200,173.71,Console,RMA460
6368-703-6205,185.31,Console,RMA460/510
6368-703-6210,166.78,Console,RMA460/510
6368-704-0300,45.16,Capa da roda,RMA460/510
6368-704-1200,12.8,Suporte do eixo,RMA460/510
6368-704-1400,58.49,Alavanca de regulagem,RMA460/510
6368-704-2700,15.23,Suporte,RMA460/510
6368-704-7400,48.35,Pinhão,RMA460/510
6368-706-0300,91.18,Prolongador,RMA460
6368-706-0700,89.56,Cobertura,RMA460
6368-706-0705,61.5,Cobertura,RMA460
6368-706-0710,20.5,Cobertura,RMA460
6368-706-0715,140.8,Cobertura,RMA460
6368-706-0720,40.46,Cobertura,RMA460
6368-706-0725,11.33,Cobertura,RMA460
6368-706-0735,133.96,Cobertura,RMA460/510
6368-706-0740,17.48,Cobertura,RMA460/510
6368-706-6500,106.45,Pano de borracha,RMA460
6368-708-8200,13.64,Suporte,RMA510/460
6368-760-0410,25.71,Encosto,RMA510/460
6368-760-5300,38.81,Peça do punho,RMA460/510
6368-763-5400,27.67,Chapa retentora,RMA460
6368-764-0200,59.59,Alavanca do interruptor,RMA460/510
6368-766-8300,97.56,Elemento triturador,RMA460
6368-780-0400,210.53,Alavanca de translação,RMA460
6368-780-1700,44.81,Bucha,RMA460/510
6368-780-2005,106.27,Cobertura,RMA460
6368-780-2010,107.36,Cobertura,RMA460
6368-780-2015,15.36,Cobertura,RMA460/510
6368-820-4000,44.48,Cobertura,RMA460/510
6368-820-4005,28.06,Cobertura,RMA460/510
6368-951-3500,5.76,Parafuso,RMA510/460
6368-951-3505,5.05,Parafuso,RMA510/460
6368-951-3510,9.36,Parafuso,RMA510/460
6368-951-3515,9.36,Parafuso,RMA510/460
6368-967-4400,10.08,Adesivo,RMA460/510
6368-967-4405,10.08,Adesivo,RMA460/510
6368-971-0200,7.56,Pino,RMA460/510
6368-985-1600,5.59,Anel de segurança,RMA460/510
6368-988-9200,6.96,Fixa cabo,RMA460
6372-007-1090,829.03,Jogo motor elétrico,RMA510
6372-007-1095,1064.29,Kit módulo eletrônico,RMA510
6372-007-1098,80.83,Jogo,RMA510
6372-403-0400,88.91,Suporte da bateria,RMA510
6372-403-0405,94.36,Suporte da bateria,RMA510
6372-403-0415,89.46,Suporte da bateria,RMA510
6372-405-9000,36.51,Luva de ferrita,RMA510
6372-430-0590,285.3,Interruptor,RMA460/510
6372-430-1405,720.62,Módulo electrônico,RMA510
6372-430-2205,114.01,Cabo de ligação,RMA510
